seed,L_min,beta,lambda_alarm,kappa_iid,best_obj,changepoints,objective_gap
7,156,0.3,0.0,0.75,90616.80385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,0.0,1.5,90618.30385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,0.25,0.0,90615.30385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,0.25,0.25,90615.80385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,0.25,0.75,90616.80385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,0.25,1.5,90618.30385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,0.5,0.0,90615.30385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,0.5,0.25,90615.80385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,0.5,0.75,90616.80385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,0.5,1.5,90618.30385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,1.0,0.0,90615.30385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,1.0,0.25,90615.80385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,1.0,0.75,90616.80385971852,"[1144, 2080]",9.505997610685881
7,156,0.3,1.0,1.5,90618.30385971852,"[1144, 2080]",9.505997610685881
7,156,0.6,0.0,0.0,90615.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,0.0,0.25,90616.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,0.0,0.75,90617.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,0.0,1.5,90618.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,0.25,0.0,90615.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,0.25,0.25,90616.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,0.25,0.75,90617.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,0.25,1.5,90618.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,0.5,0.0,90615.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,0.5,0.25,90616.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,0.5,0.75,90617.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,0.5,1.5,90618.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,1.0,0.0,90615.90385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,1.0,0.25,90616.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,1.0,0.75,90617.40385971851,"[1144, 2080]",9.505997610685881
7,156,0.6,1.0,1.5,90618.90385971851,"[1144, 2080]",9.505997610685881
7,156,1.0,0.0,0.0,90616.70385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,0.0,0.25,90617.20385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,0.0,0.75,90618.20385971852,"[1144, 2080]",9.505997610685881
7,156,1.0,0.0,1.5,90619.70385971852,"[1144, 2080]",9.505997610685881
