seed,L_min,beta,lambda_alarm,best_obj,changepoints,objective_gap
53,104,2.0,2.0,90583.5202031551,"[1144, 2236]",1.1945792218466522
53,104,4.0,0.0,90587.5202031551,"[1144, 2236]",1.1945792218466522
53,104,4.0,0.5,90587.5202031551,"[1144, 2236]",1.1945792218466522
53,104,4.0,1.0,90587.5202031551,"[1144, 2236]",1.1945792218466522
53,104,4.0,2.0,90587.5202031551,"[1144, 2236]",1.1945792218466522
53,156,0.5,0.0,90580.5202031551,"[1144, 2236]",1.1945792218466522
53,156,0.5,0.5,90580.5202031551,"[1144, 2236]",1.1945792218466522
53,156,0.5,1.0,90580.5202031551,"[1144, 2236]",1.1945792218466522
53,156,0.5,2.0,90580.5202031551,"[1144, 2236]",1.1945792218466522
53,156,1.0,0.0,90581.5202031551,"[1144, 2236]",1.1945792218466522
53,156,1.0,0.5,90581.5202031551,"[1144, 2236]",1.1945792218466522
53,156,1.0,1.0,90581.5202031551,"[1144, 2236]",1.1945792218466522
53,156,1.0,2.0,90581.5202031551,"[1144, 2236]",1.1945792218466522
53,156,2.0,0.0,90583.5202031551,"[1144, 2236]",1.1945792218466522
53,156,2.0,0.5,90583.5202031551,"[1144, 2236]",1.1945792218466522
53,156,2.0,1.0,90583.5202031551,"[1144, 2236]",1.1945792218466522
53,156,2.0,2.0,90583.5202031551,"[1144, 2236]",1.1945792218466522
53,156,4.0,0.0,90587.5202031551,"[1144, 2236]",1.1945792218466522
53,156,4.0,0.5,90587.5202031551,"[1144, 2236]",1.1945792218466522
53,156,4.0,1.0,90587.5202031551,"[1144, 2236]",1.1945792218466522
53,156,4.0,2.0,90587.5202031551,"[1144, 2236]",1.1945792218466522
89,26,0.5,0.0,90571.42213379547,"[2132, 2158]",0.20468865982547868
89,26,0.5,0.5,90571.62682245529,"[2392, 2418]",0.2953113401745213
89,26,0.5,1.0,90571.62682245529,"[2392, 2418]",0.7953113401745213
89,26,0.5,2.0,90571.62682245529,"[2392, 2418]",1.7953113401745213
89,26,1.0,0.0,90572.42213379547,"[2132, 2158]",0.20468865982547868
89,26,1.0,0.5,90572.62682245529,"[2392, 2418]",0.2953113401745213
89,26,1.0,1.0,90572.62682245529,"[2392, 2418]",0.7953113401745213
89,26,1.0,2.0,90572.62682245529,"[2392, 2418]",1.7953113401745213
89,26,2.0,0.0,90574.42213379547,"[2132, 2158]",0.20468865982547868
89,26,2.0,0.5,90574.62682245529,"[2392, 2418]",0.2953113401745213
89,26,2.0,1.0,90574.62682245529,"[2392, 2418]",0.7953113401745213
89,26,2.0,2.0,90574.62682245529,"[2392, 2418]",1.7953113401745213
89,26,4.0,0.0,90578.42213379547,"[2132, 2158]",0.20468865982547868
89,26,4.0,0.5,90578.62682245529,"[2392, 2418]",0.2953113401745213
89,26,4.0,1.0,90578.62682245529,"[2392, 2418]",0.7953113401745213
89,26,4.0,2.0,90578.62682245529,"[2392, 2418]",1.7953113401745213
89,52,0.5,0.0,90579.22173808317,"[1144, 2236]",1.838002429518383
89,52,0.5,0.5,90579.22173808317,"[1144, 2236]",1.838002429518383
89,52,0.5,1.0,90579.22173808317,"[1144, 2236]",1.838002429518383
